"","PLOT_ID","specie","G_sp","N_sp","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","SUM_DBH","SUM_H","BASAL_AREA","DENSITY","CD_0_75","CD_75_125","CD_125_175","CD_175_225","CD_225_275","CD_275_325","CD_325_375","CD_375_425","CD_425_","MEAN_DBH","MEAN_H","QM_DBH","DOMINANT_H","X","Provincia","Estadillo","ESTRATO","FECHGR","CODGR","NUMPMA","NUMTIP","NUMPME","NUMMAT","VERIFICA","FECHAVE","CODVE","HOJA","VUELO","FOTO","COORDEX","COORDEY","ANO","MUNICI","PROPIED1","PROPIED2","AREAPRO1","AREAPRO2","ALTITUD1","ALTITUD2","PENDIEN1","PENDIEN2","USO1","USO2","FRACCION1","FRACCION2","ESPECIA12","OCUPA11","OCUPA12","ESTADA11","ESTADA12","ESPECIA21","ESPECIA22","OCUPA21","OCUPA22","ESTADA21","ESTADA22","ESPECIA31","ESPECIA32","OCUPA31","OCUPA32","ESTADA31","ESTADA32","ESPECIB1","MASAB1","ORIGEB1","EDADB1","ESPECIB2","MASAB2","ORIGEB2","EDADB2","ESPECIB3","MASAB3","ORIGEB3","EDADB3","ESPECIE1","ESPECIE2","ESPECIE3","ESPECIE4","ESPECIE5","ESPECIE6","ESPECIE7","CLASUELO","ESPESOR","CLACOBER","CUBIERTA","MEROSIVA1","MEROSIVA2","MEROSIVA3","MEROSIVA4","DISESPAC","COMPESPE","PREPSUEL1","PREPSUEL2","TRAVUELO1","TRAVUELO2","CORTAS","DANOS1","DANOS2","DANOS3","ORIENTA1","ORIENTA2","MAXPEND1","MAXPEND2","INVENTORY_ID","AGE","MUNICIPALITY","SPECIE_IFN_ID","Fecha_IFN2","Anyo_IFN2","EXEC_TIME"
"26491","9_1244","21",263073.375,2291.83118052329,21,NA,NA,263073.375,NA,NA,2291.83118052329,NA,NA,27097.7206108261,17300.142314089,26.3073375,2291.83118052329,0,1400.56349920868,827.605704077856,63.6619772367581,0,0,0,0,0,11.8236111111111,7.54861111111111,12.0893289722796,9,1571,9,1244,NA,920213,3,39,4,2,1,"S",920302,2,201,2,"0201M06","471","4689",91,44,"3","3","0","0","11",11,3,3,9,1,"40",80,21,0,9,1,3,NA,43,NA,1,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,20,43,3,6,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"01",390,NA,"3.00",NA,"IFN2",20,44,21,"19920213",1992,11
"26493","9_1245","21",400544.229166667,3034.55424828547,21,NA,NA,400544.229166667,NA,NA,3034.55424828547,NA,NA,38039.6229483939,24366.6217873692,40.0544229166667,3034.55424828547,127.323954473516,1655.21140815571,1018.59163578813,190.985931710274,42.4413181578388,0,0,0,0,12.5354895104895,8.02972027972028,12.96381563176,10.2,1572,9,1245,NA,920213,3,55,4,2,1,"S",920302,2,201,2,"0201M07","472","4689",91,431,"6","6","0","0","11",11,1,2,9,1,"50",90,21,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"M902",40,NA,"1.50",NA,"IFN2",25,431,21,"19920213",1992,11
"26499","9_1251","21",112749.0625,1145.91559026165,21,43,NA,112749.0625,71259.375,NA,1145.91559026165,891.267681314614,NA,21315.6215282975,12430.001055477,18.40084375,2037.18327157626,0,1655.21140815571,350.14087480217,31.8309886183791,0,0,0,0,0,10.46328125,6.1015625,10.7240511672362,9.125,1578,9,1251,NA,920213,3,25,4,2,2,"S",920302,2,201,2,"0201M05","468","4688",91,5,"3","3","0","0","11",11,2,3,9,1,"35",80,21,0,6,1,3,NA,43,NA,4,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,15,43,3,6,NA,NA,NA,NA,NA,21,43,15,NA,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",75,NA,"3.75",NA,"IFN2",15,5,21,"19920213",1992,11
"26507","9_1253","21",259995.826388889,1025.66518881444,21,43,NA,259995.826388889,57028.125,NA,1025.66518881444,604.788783749202,NA,24640.1914506616,14281.5035601127,31.7023951388889,1630.45397256364,0,509.295817894065,572.957795130823,477.464829275686,70.7355302630646,0,0,0,0,15.1124728850325,8.75921908893709,15.7342782117893,11.6896551724138,1580,9,1253,NA,920213,3,42,6,2,2,"S",920302,2,201,2,"0201M06","470","4688",91,5,"3","3","0","0","11",11,2,4,9,1,"70",80,21,0,8,3,3,NA,43,NA,2,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,20,43,3,6,NA,NA,NA,NA,NA,21,25,43,15,NA,NA,NA,3,3,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",180,NA,"4.25",NA,"IFN2",20,5,21,"19920213",1992,11
"26511","9_1254","21",358534.951388889,1814.36635124761,21,43,NA,358534.951388889,5292.5625,NA,1814.36635124761,31.8309886183791,NA,27887.1291285619,18672.4116011925,36.3827513888889,1846.19733986599,0,509.295817894065,700.281749604339,509.295817894065,127.323954473516,0,0,0,0,15.1051724137931,10.1139846743295,15.8403133434892,12.6875,1581,9,1254,NA,920213,3,51,5,2,0,"S",920302,2,201,2,"0201M06","471","4688",91,431,"3","3","0","0","11",11,3,4,9,1,"70",80,21,0,9,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,43,15,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"P402",220,NA,"4.75",NA,"IFN2",29,431,21,"19920213",1992,11
"26513","9_1255","21",122467.965277778,905.414787367227,21,NA,NA,122467.965277778,NA,NA,905.414787367227,NA,NA,11437.7584047119,5374.13191173633,12.2467965277778,905.414787367227,0,381.971863420549,445.633840657307,63.6619772367581,14.1471060526129,0,0,0,0,12.6326171875,5.935546875,13.1232837419556,6.62903225806452,1582,9,1255,NA,920213,3,20,5,1,2,"S",920302,2,201,2,"0201M07","472","4688",91,431,"3","3","0","0","11",11,1,1,9,1,"70",70,21,0,9,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,20,NA,NA,NA,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,3,1,"W","07",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"01",270,NA,"0.50",NA,"IFN2",20,431,21,"19920213",1992,11
"26519","9_1257","21",280305.125,1941.69030572112,21,NA,NA,280305.125,NA,NA,1941.69030572112,NA,NA,25821.2979672291,16825.8605836752,28.0305125,1941.69030572112,0,668.45076098596,1145.91559026165,127.323954473516,0,0,0,0,0,13.2983606557377,8.6655737704918,13.5575307244447,10,1584,9,1257,NA,920214,2,46,4,0,3,"S",920302,2,201,2,"0201M07","474","4688",91,303,"6","6","0","0","11",11,2,4,9,1,"70",70,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,21,37,57,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,1,NA,0,0,NA,NA,"01",30,NA,"4.75",NA,"IFN2",15,303,21,"19920214",1992,11
"26520","9_1260","21",255672.9375,1878.02832848436,21,43,NA,255672.9375,22357.6944444444,NA,1878.02832848436,77.809083289371,NA,25533.5811978841,14219.6099711326,27.8030631944444,1955.83741177374,0,891.267681314614,954.929658551372,95.4929658551372,0,0,14.1471060526129,0,0,13.0550632911392,7.27034358047016,13.4534914833371,8.7741935483871,1587,9,1260,NA,920217,3,41,6,3,3,"S",920302,2,201,2,"0201M09","478","4688",91,431,"3","3","0","0","11",11,2,2,9,1,"70",70,21,0,8,1,3,NA,43,NA,1,NA,4,NA,NA,NA,NA,NA,NA,21,1,2,15,43,3,6,NA,NA,NA,NA,NA,21,43,37,45,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,3,NA,0,NA,0,0,NA,NA,"01",385,NA,"1.25",NA,"IFN2",15,431,21,"19920217",1992,11
"26528","9_1278","21",81243.25,1018.59163578813,21,43,NA,81243.25,31961.25,NA,1018.59163578813,509.295817894065,NA,14769.5787189279,6811.83156433312,11.32045,1527.8874536822,0,1527.8874536822,0,0,0,0,0,0,0,9.66666666666667,4.45833333333333,9.71272790380402,4,1605,9,1278,NA,920217,3,12,4,3,2,"S",920302,2,202,1,"0202L03","487","4693",91,48,"6","6","0","0","10",10,4,4,9,1,"30",70,21,0,7,1,3,NA,43,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,10,43,3,6,NA,NA,NA,NA,NA,21,43,37,15,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",360,NA,"6.50",NA,"IFN2",10,48,21,"19920217",1992,11
"26532","9_1286","21",169212.375,1305.07053335354,21,43,NA,169212.375,12908.25,NA,1305.07053335354,254.647908947033,NA,18538.367771344,11379.5784310705,18.2120625,1559.71844230057,0,891.267681314614,668.45076098596,0,0,0,0,0,0,11.8857142857143,7.29591836734694,12.193026611928,9.125,1613,9,1286,NA,920218,3,28,5,2,2,"S",920303,7,202,1,"0202L03","488","4692",91,360,"3","3","0","0","10",10,4,5,9,1,"30",70,21,0,7,1,3,NA,43,NA,2,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,15,43,3,6,NA,NA,NA,NA,NA,21,43,15,71,NA,NA,NA,2,2,"W","20",NA,NA,NA,"1",1,3,NA,1,NA,0,0,NA,NA,"01",305,NA,"7.50",NA,"IFN2",15,360,21,"19920218",1992,11
"26538","9_1287","21",176034.131944444,1110.54782513011,21,43,NA,176034.131944444,31115.6944444444,NA,1110.54782513011,300.626003618025,NA,18417.5868534198,10525.446903144,20.7149826388889,1411.17382874814,0,763.943726841098,413.802852038928,190.985931710274,42.4413181578388,0,0,0,0,13.0512531328321,7.45864661654135,13.67121424737,9.65,1614,9,1287,NA,920218,3,28,6,2,2,"S",920303,4,202,1,"0202L04","489","4692",91,126,"6","6","0","0","10",10,4,5,9,1,"30",60,21,0,8,1,3,NA,43,NA,2,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,15,43,3,6,NA,NA,NA,NA,NA,21,43,15,16,71,57,12,2,4,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",20,NA,"9.00",NA,"IFN2",15,126,21,"19920218",1992,11
"26542","9_1295","21",34782.1875,254.647908947033,21,43,NA,34782.1875,11679.0277777778,NA,254.647908947033,45.978094670992,NA,4135.72961565573,1488.98291203751,4.64612152777778,300.626003618025,0,127.323954473516,159.154943091895,0,14.1471060526129,0,0,0,0,13.7570588235294,4.95294117647059,14.0277194071134,5.59677419354839,1622,9,1295,NA,920218,3,7,4,3,2,"S",920303,4,202,1,"0202M03","488","4691",91,360,"3","3","0","0","11",11,4,4,9,1,"40",50,21,0,5,1,3,NA,43,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,10,43,3,6,NA,NA,NA,NA,NA,21,43,95,15,57,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,3,NA,1,NA,0,0,NA,NA,"01",100,NA,"6.50",NA,"IFN2",10,360,21,"19920218",1992,11
"26569","9_1339","21",305785.381944444,1828.51345730022,21,43,NA,305785.381944444,91857.6527777778,NA,1828.51345730022,664.913984472807,NA,33510.0732679986,21754.7123324055,39.7643034722222,2493.42744177303,0,1273.23954473516,827.605704077856,350.14087480217,14.1471060526129,14.1471060526129,14.1471060526129,0,0,13.4393617021277,8.72482269503546,14.2496232375227,10.1833333333333,1666,9,1339,NA,920219,2,50,6,3,1,"S",920303,2,239,1,"0239J05","469","4687",91,463,"3","3","0","0","11",11,3,4,9,1,"65",85,21,0,6,3,3,NA,43,NA,3,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,20,43,3,6,NA,NA,NA,NA,NA,21,43,72,15,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,2,NA,0,1,4,0,NA,NA,"01",351,NA,"5.00",NA,"IFN2",20,463,21,"19920219",1992,11
"26573","9_1341","21",404306.534722222,1563.25521881373,21,43,NA,404306.534722222,5041,NA,1563.25521881373,31.8309886183791,NA,27428.9397312829,16481.3785512941,40.9347534722222,1595.08620743211,0,413.802852038928,381.971863420549,445.633840657307,297.089227104871,56.5884242104517,0,0,0,17.1958980044346,10.3325942350333,18.0762803811197,12,1668,9,1341,NA,920219,2,55,6,0,1,"S",920303,2,239,1,"0239J06","471","4687",91,475,"3","3","0","0","11",11,1,3,9,1,"75",85,21,0,9,2,3,NA,43,NA,1,NA,3,NA,NA,NA,NA,NA,NA,21,1,2,26,43,3,6,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,2,NA,0,NA,0,0,NA,NA,"M913",61,NA,"3.50",NA,"IFN2",26,475,21,"19920219",1992,11
"26577","9_1342","21",385330.4375,2274.14729795753,21,NA,NA,385330.4375,NA,NA,2274.14729795753,NA,NA,32538.1670821841,19988.0924640855,38.53304375,2274.14729795753,0,636.619772367581,1273.23954473516,350.14087480217,14.1471060526129,0,0,0,0,14.3078538102644,8.78926905132193,14.6879918103688,10,1669,9,1342,NA,920219,2,57,6,0,1,"S",920303,2,239,1,"0239J06","472","4687",91,475,"3","3","0","0","11",11,2,4,9,1,"80",85,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,4,0,NA,NA,"G913",9,NA,"4.50",NA,"IFN2",25,475,21,"19920219",1992,11
"26578","9_1343","21",475266.395833333,2284.75762749699,21,NA,NA,475266.395833333,NA,NA,2284.75762749699,NA,NA,36176.8027589161,22686.6529436214,47.5266395833333,2284.75762749699,0,381.971863420549,1241.40855611678,618.935889801815,42.4413181578388,0,0,0,0,15.8339783281734,9.92956656346749,16.2743460155944,10.9117647058824,1670,9,1343,NA,920219,2,65,5,1,1,"S",920303,2,239,1,"0239J07","473","4687",91,303,"3","3","0","0","11",11,2,3,9,1,"80",90,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,25,NA,NA,NA,NA,NA,NA,NA,NA,21,43,15,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,1,NA,4,0,NA,NA,"01",275,NA,"3.50",NA,"IFN2",25,303,21,"19920219",1992,11
"26579","9_1344","21",218213.875,2005.35228295788,21,NA,NA,218213.875,NA,NA,2005.35228295788,NA,NA,23309.832965239,12732.3954473516,21.8213875,2005.35228295788,0,1432.39448782706,572.957795130823,0,0,0,0,0,0,11.6238095238095,6.34920634920635,11.7706623459979,7.25,1671,9,1344,NA,920219,2,30,4,2,1,"S",920303,2,239,1,"0239J07","474","4687",91,303,"3","3","0","0","11",11,3,3,9,1,"30",75,21,0,8,1,3,NA,43,NA,2,NA,2,NA,NA,NA,NA,NA,NA,21,1,2,20,43,3,6,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,2,NA,1,NA,0,0,NA,NA,"01",105,NA,"3.50",NA,"IFN2",20,303,21,"19920219",1992,11
"26583","9_1348","21",372278.527777778,1556.18166578742,21,NA,NA,372278.527777778,NA,NA,1556.18166578742,NA,NA,26910.6251332803,13724.4612592911,37.2278527777778,1556.18166578742,0,0,891.267681314614,636.619772367581,28.2942121052258,0,0,0,0,17.2927272727273,8.81931818181818,17.4525506080708,9.04285714285714,1675,9,1348,NA,920219,2,50,6,1,1,"S",920303,2,239,1,"0239J06","470","4686",91,463,"3","3","0","0","11",11,1,1,9,1,"85",90,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,23,NA,NA,NA,NA,NA,NA,NA,NA,21,15,NA,NA,NA,NA,NA,2,4,"W","20",NA,NA,NA,"1",1,1,NA,2,NA,4,0,NA,NA,"01",320,NA,"0.50",NA,"IFN2",23,463,21,"19920219",1992,11
"26584","9_1349","21",344491.3125,1648.13785512941,21,NA,NA,344491.3125,NA,NA,1648.13785512941,NA,NA,26342.7956640935,15006.5427453092,34.44913125,1648.13785512941,0,254.647908947033,923.098669932993,413.802852038928,56.5884242104517,0,0,0,0,15.9833690987124,9.10515021459227,16.3135105873139,10.0441176470588,1676,9,1349,NA,920219,2,48,4,0,1,"S",920303,2,239,1,"0239J06","471","4686",91,475,"3","3","0","0","12",12,1,1,9,1,"80",85,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,22,NA,NA,NA,NA,NA,NA,NA,NA,21,73,NA,NA,NA,NA,NA,2,3,"W","20",NA,NA,NA,"1",1,1,NA,0,NA,0,0,NA,NA,"01",15,NA,"0.50",NA,"IFN2",22,475,21,"19920219",1992,11
